id,source,dict_type,entry_id,entry_name,valid_from,valid_to,is_current,content_hash,created_at,updated_at
31,rada,theme,18,"Сільське господарство, агропромисловий комплекс",2026-02-02 00:53:13.712991,,t,42307dbaf10fd47fdd2cd2cf3d56ff6142f9787b287cd586d0583e0be744c10e,2026-02-02 00:53:13.713122,2026-02-02 00:53:13.713123
37,rada,theme,19,"Трудові відносини, зайнятість населення, охорона праці",2026-02-02 00:53:13.719202,,t,89ad116b220149c8c1a09213758c2c2c6c6b8954ef41cb7a999995fd953e4eb2,2026-02-02 00:53:13.71936,2026-02-02 00:53:13.719362
32,rada,theme,20,"Соціальне забезпечення, страхування",2026-02-02 00:53:13.7139,,t,e45dbe716a0ace278c05f1a8c2319b63b9e4f4ed043671b5a00f569ef17ea85a,2026-02-02 00:53:13.71401,2026-02-02 00:53:13.714011
10,rada,theme,21,"Будівництво, капітальний ремонт, архітектура",2026-02-02 00:53:13.693775,,t,ad5e39a82f369b90bb527a715a3ad1ed0c70e5b27ea904b5401e64f57e353d0b,2026-02-02 00:53:13.693885,2026-02-02 00:53:13.693886
33,rada,theme,22,"Суд, прокуратура, юстиція. Органи нагляду та контролю",2026-02-02 00:53:13.71509,,t,a1a8c1e1109f9a939632e4449429c7fc284d65b45e89bf33c9fb6d25b615fdf1,2026-02-02 00:53:13.715227,2026-02-02 00:53:13.715228
20,rada,theme,23,Митна діяльність. Зовнішньоекономічні зв'язки (ЗЕД),2026-02-02 00:53:13.703156,,t,b8976d9c76d6d11fa512f72bb2841a82004aaae541ea4bb298905ed8fe36f8c1,2026-02-02 00:53:13.703266,2026-02-02 00:53:13.703267
35,rada,theme,24,"Торгівля, громадське харчування, побутове обслуговування",2026-02-02 00:53:13.717121,,t,47a8a6c398ac45a3b6d1a52f1baf8e4639b70a74b3a02bc7c0ec0d8f805d1e4f,2026-02-02 00:53:13.717238,2026-02-02 00:53:13.717239
18,rada,theme,25,"Кримінальне, кримінально-процесуальне, кримінально-виконавче законодавство",2026-02-02 00:53:13.701371,,t,4bcd5650e2030d3d4892e2131a376356c73368b769eeb1f0acb7e8e9a3f11bc4,2026-02-02 00:53:13.701489,2026-02-02 00:53:13.701491
39,rada,theme,26,"Цінні папери, фондовий ринок",2026-02-02 00:53:13.721101,,t,1a128e98f8ee01b87b4b69d6b482a277fb3d97976a8779b33cd37e66f7e77755,2026-02-02 00:53:13.72121,2026-02-02 00:53:13.721212
17,rada,theme,27,Кадрові питання. Нагородження,2026-02-02 00:53:13.700401,,t,69d1a1ade92c7789b5636d54e2d5c6e4f226025fb324774e47eec24d5f7ccd66,2026-02-02 00:53:13.700525,2026-02-02 00:53:13.700526
30,rada,theme,28,Регіональне законодавство,2026-02-02 00:53:13.711731,,t,c3fd7feb490db88d734284b7b681c3ce368bf17ef9e623996714a113618a77f2,2026-02-02 00:53:13.711839,2026-02-02 00:53:13.711841
28,rada,theme,29,Проекти. Внесення змін і доповнень до нормативних актів. Втрата чинності,2026-02-02 00:53:13.71003,,t,ce3d7ff2e54cc1f21600a188bec4834bb4376912f38ece97684e4e4ab11683ae,2026-02-02 00:53:13.710142,2026-02-02 00:53:13.710143
34,rada,theme,30,Судова практика,2026-02-02 00:53:13.716096,,t,7032064a0618dcdd909518b3c302268fab264cf07cafff61a040ae4766c34b1c,2026-02-02 00:53:13.716223,2026-02-02 00:53:13.716225
15,rada,theme,31,Загальні засади правового регулювання економічного розвитку,2026-02-02 00:53:13.698194,,t,2d143666cbfed42b476218a0e27ecebfcdd532bed8db3305b282d53215824640,2026-02-02 00:53:13.698452,2026-02-02 00:53:13.698455
40,rada,theme,32,Ядерне законодавство. Ліквідація наслідків Чорнобильської катастрофи та інших ядерних аварій та випробувань,2026-02-02 00:53:13.722124,,t,60cfe0a7e6c501ba4e66d95c6edd70d419b5477b42fa2da5eee9d658ec5c5ffb,2026-02-02 00:53:13.722274,2026-02-02 00:53:13.722276
